100,IPOPT,0.01,121.63742302078148,91.45475506782532
100,SNOPT,0.01,120.74541022934496,197.80547833442688
100,IPOPT,0.0001,120.70785497150243,230.84818696975708
100,SNOPT,0.0001,120.74541022934507,209.85745906829834
100,IPOPT,1e-06,120.69959614217476,935.4287397861481
100,SNOPT,1e-06,120.69952588569575,197.46693897247314
200,IPOPT,0.01,122.25512607733309,263.9059269428253
200,SNOPT,0.01,120.07166521943282,543.91535115242
200,IPOPT,0.0001,120.14007053906212,393.10961508750916
200,SNOPT,0.0001,120.07166521916378,517.395889043808
200,IPOPT,1e-06,120.07196737861463,1329.9798111915588
200,SNOPT,1e-06,120.07165932137876,461.33402013778687
400,IPOPT,0.01,123.76976857785627,1007.9426507949829
400,SNOPT,0.01,119.46806324523338,1810.3847739696503
400,IPOPT,0.0001,119.51085167910624,1540.0007660388947
400,SNOPT,0.0001,119.46808353076845,1849.3792090415955
400,IPOPT,1e-06,119.92733598139446,2418.7288439273834
400,SNOPT,1e-06,119.46804369019748,1481.4105548858643
800,IPOPT,0.01,127.17641209197805,3365.7542340755463
800,SNOPT,0.01,119.54249590853965,5344.846400022507
800,IPOPT,0.0001,119.44590667074755,4344.913107872009
800,IPOPT,0.01,127.17641209197805,3051.1904361248016
800,IPOPT,0.0001,119.44590667074755,4102.621194124222
800,SNOPT,0.0001,119.35193593912415,13474.632105112076
800,IPOPT,1e-06,119.35255838755954,8781.671096801758
800,SNOPT,1e-06,119.35186074828317,67826.67930984497
800,SNOPT,1e-06,119.35186074828317,31511.22508597374
